name,screen_name,followers_count,friends_count,lang,location,occupation,profile_image_url,url,updated_at
Justin Bieber,justinbieber,114306836,284268,,The 6,Pop musician,http://pbs.twimg.com/profile_images/1473447174591684612/vlsbWYtq_normal.jpg,https://JustinBieber.lnk.to/JusticeTCD,2022-05-12 12:50:48
KATY PERRY,katyperry,108900883,239,en,,Pop musician,http://pbs.twimg.com/profile_images/1392465354622791687/w_KwtKcE_normal.jpg,http://linktr.ee/katyperry,2022-05-12 09:50:58
Rihanna,rihanna,106490137,997,en,,K-pop musician,http://pbs.twimg.com/profile_images/1133109643734130688/BwioAwkz_normal.jpg,https://ri-hanna.io/fentyparfum,2022-05-12 14:50:11
Taylor Swift,taylorswift13,90337774,,,,Pop musician,http://pbs.twimg.com/profile_images/1405947624184713220/aCLC4bTE_normal.jpg,https://taylor.lnk.to/RedTaylorsVersion,2022-05-12 13:50:26
Lady Gaga,ladygaga,84677371,118087,und,,Pop musician,http://pbs.twimg.com/profile_images/1519346609125003264/rekKHZUq_normal.jpg,"https://ladygaga.lnk.to/HoldMyHand,https://TonyGaga.lnk.to/LoveForSale",2022-05-12 13:50:27
Selena Gomez,selenagomez,65854538,1084,en,Los Angeles,Pop musician,http://pbs.twimg.com/profile_images/1490735661409832963/MdjPf5jL_normal.jpg,"https://linktr.ee/selenagomez,http://smarturl.it/REVELACIONSG",2022-05-12 13:50:26
Justin Timberlake,jtimberlake,63199149,332,,"Memphis, TN",Pop musician,http://pbs.twimg.com/profile_images/1232096230702014464/E7LexPCo_normal.jpg,http://bit.ly/BETTERDAYSxFAIRFIGHT,2022-05-12 09:50:58
Britney Spears,britneyspears,55833008,363863,,"Los Angeles, CA",Pop musician,http://pbs.twimg.com/profile_images/1323418800876777474/0w4orMOC_normal.jpg,https://smarturl.it/BS.GloryDeluxe,2022-05-12 09:50:58
Demi Lovato,ddlovato,54219258,,en,DALLAS/LA,Pop musician,http://pbs.twimg.com/profile_images/1509235931257126923/sa6r9AKC_normal.jpg,https://linktr.ee/demilovato,2022-05-12 10:50:27
Shakira,shakira,52836885,232,es,Barranquilla,Pop musician,http://pbs.twimg.com/profile_images/1517482924077207553/KVYNrafL_normal.jpg,https://linktr.ee/shakira,2022-05-12 00:51:20
Amitabh Bachchan,SrBachchan,47482169,1799,en,"Mumbai, India",K-pop musician,http://pbs.twimg.com/profile_images/1262261228652675072/Pl_u58Pb_normal.jpg,https://srbachchan.tumblr.com/,2022-05-12 09:50:52
Miley Cyrus,MileyCyrus,46766295,72,en,,Pop musician,http://pbs.twimg.com/profile_images/1508113981130559500/BGp9Hv1F_normal.jpg,http://mileyworld.com,2022-05-12 11:50:25
Bruno Mars,BrunoMars,43270691,95,en,,Pop musician,http://pbs.twimg.com/profile_images/1488093046747000832/aPjggOc1_normal.jpg,http://www.brunomars.com,2022-05-12 05:50:46
Niall Horan,NiallOfficial,41304462,5740,en,"Mullingar,Westmeath,Ireland",Pop musician,http://pbs.twimg.com/profile_images/1466536333288124419/g5Dtpp6S_normal.jpg,http://niallhoran.com,2022-05-11 14:50:51
Harry Styles.,Harry_Styles,37712424,1814,en,,Pop musician,http://pbs.twimg.com/profile_images/1506662939410907136/ogCRZ0MJ_normal.jpg,http://hstyles.co.uk,2022-05-12 13:50:26
Sachin Tendulkar,sachin_rt,37311751,81,en,"ÜT: 18.986431,72.823769",K-pop musician,http://pbs.twimg.com/profile_images/1410819014255730689/u76ZqFWN_normal.jpg,http://bit.ly/100MBApp,2022-05-12 12:51:15
Louis Tomlinson,Louis_Tomlinson,36034382,3471,en,Doncaster,Pop musician,http://pbs.twimg.com/profile_images/1167116488035262472/IthDWGne_normal.jpg,https://louis-tomlinson.com,2022-05-12 11:50:25
Hillary Clinton,HillaryClinton,31475986,960,en,"New York, NY",K-pop musician,http://pbs.twimg.com/profile_images/1291192333199958017/SvH8J8_P_normal.jpg,http://onwardtogether.org,2022-05-12 13:50:27
